id,cooperado,valor,hora,dispositivo_novo,chave_nova,classificacao,transacao_alta,score_risco
1,181,1192,15,1,0,NORMAL,False,20
2,224,7774,13,1,0,RISCO_ALTO,True,70
3,284,9069,9,0,0,NORMAL,True,50
4,182,9440,13,0,1,NORMAL,True,60
5,394,6959,0,1,1,RISCO_ALTO,True,80
6,214,9613,9,0,1,NORMAL,True,60
7,306,8684,5,1,0,RISCO_ALTO,True,70
8,219,714,19,0,1,NORMAL,False,10
9,240,9122,9,0,1,NORMAL,True,60
10,394,4434,23,0,1,RISCO_MEDIO,True,60
11,338,4132,3,1,0,NORMAL,True,50
12,237,3502,23,1,0,RISCO_MEDIO,True,70
13,403,4701,10,1,0,NORMAL,True,50
14,255,1494,13,1,1,NORMAL,False,30
15,189,7617,20,0,1,NORMAL,True,60
16,443,3946,11,0,1,NORMAL,True,40
17,481,3991,19,1,1,NORMAL,True,60
18,135,3472,1,1,1,NORMAL,True,60
19,360,2212,12,0,0,NORMAL,False,0
20,216,8033,17,0,0,NORMAL,True,50
21,128,8737,19,0,0,NORMAL,True,50
22,260,691,23,0,1,NORMAL,False,30
23,257,2663,19,0,0,NORMAL,False,0
24,347,6334,22,1,1,RISCO_ALTO,True,100
25,258,934,22,0,1,NORMAL,False,30
26,481,6743,14,1,0,RISCO_ALTO,True,70
27,404,7131,19,1,0,RISCO_ALTO,True,70
28,124,5161,6,1,0,RISCO_ALTO,True,70
29,203,6504,0,1,1,RISCO_ALTO,True,80
30,336,1557,9,0,1,NORMAL,False,10
31,198,9479,9,0,1,NORMAL,True,60
32,315,6554,6,0,1,NORMAL,True,60
33,135,2844,4,1,1,NORMAL,False,30
34,116,7845,13,1,0,RISCO_ALTO,True,70
35,460,7108,19,0,1,NORMAL,True,60
36,425,2909,14,0,0,NORMAL,False,0
37,368,9008,14,0,1,NORMAL,True,60
38,133,2189,21,0,0,NORMAL,False,0
39,326,1557,9,1,0,NORMAL,False,20
40,218,6386,11,1,0,RISCO_ALTO,True,70
41,283,89,9,0,1,NORMAL,False,10
42,447,9234,15,1,1,RISCO_ALTO,True,80
43,355,8896,3,0,1,NORMAL,True,60
44,381,360,16,0,0,NORMAL,False,0
45,461,7108,2,0,1,NORMAL,True,60
46,345,4180,16,0,1,NORMAL,True,40
47,194,8365,10,0,1,NORMAL,True,60
48,330,138,21,1,0,NORMAL,False,20
49,245,7873,5,0,1,NORMAL,True,60
50,492,792,4,0,1,NORMAL,False,10
51,119,1997,20,1,0,NORMAL,False,20
52,135,2776,8,0,0,NORMAL,False,0
53,447,840,0,1,1,NORMAL,False,30
54,473,318,16,1,1,NORMAL,False,30
55,345,2929,5,1,1,NORMAL,False,30
56,500,4624,22,0,1,RISCO_MEDIO,True,60
57,203,6821,5,0,0,NORMAL,True,50
58,369,376,15,1,1,NORMAL,False,30
59,481,1623,3,1,1,NORMAL,False,30
60,351,9418,7,1,0,RISCO_ALTO,True,70
61,131,5762,11,0,0,NORMAL,True,50
62,429,9445,11,0,0,NORMAL,True,50
63,110,340,1,1,1,NORMAL,False,30
64,398,9038,19,0,1,NORMAL,True,60
65,172,5339,17,0,0,NORMAL,True,50
66,440,9073,9,1,1,RISCO_ALTO,True,80
67,233,2870,13,0,0,NORMAL,False,0
68,447,9918,2,1,0,RISCO_ALTO,True,70
69,359,1414,20,1,0,NORMAL,False,20
70,304,7142,11,1,1,RISCO_ALTO,True,80
71,241,5152,21,1,1,RISCO_ALTO,True,80
72,164,3052,0,1,0,NORMAL,True,50
73,244,8761,13,0,1,NORMAL,True,60
74,414,4900,1,0,1,NORMAL,True,40
75,165,1071,2,0,0,NORMAL,False,0
76,428,6189,23,0,0,RISCO_MEDIO,True,70
77,378,1648,19,1,0,NORMAL,False,20
78,300,7035,2,1,0,RISCO_ALTO,True,70
79,340,7497,21,1,1,RISCO_ALTO,True,80
80,268,4085,13,0,0,NORMAL,True,30
81,319,9624,19,1,0,RISCO_ALTO,True,70
82,455,5851,8,1,1,RISCO_ALTO,True,80
83,208,192,20,1,0,NORMAL,False,20
84,217,3584,23,0,1,RISCO_MEDIO,True,60
85,268,9254,18,0,0,NORMAL,True,50
86,421,6589,11,0,0,NORMAL,True,50
87,179,8967,21,1,0,RISCO_ALTO,True,70
88,152,5305,8,1,0,RISCO_ALTO,True,70
89,144,2599,6,1,1,NORMAL,False,30
90,239,7189,0,1,0,RISCO_ALTO,True,70
91,341,885,11,1,0,NORMAL,False,20
92,250,3725,17,0,0,NORMAL,True,30
93,143,1622,19,0,0,NORMAL,False,0
94,152,686,17,1,1,NORMAL,False,30
95,285,851,17,0,0,NORMAL,False,0
96,135,5661,16,1,1,RISCO_ALTO,True,80
97,460,2457,7,0,0,NORMAL,False,0
98,247,4050,21,0,0,NORMAL,True,30
99,279,8194,8,0,0,NORMAL,True,50
100,379,125,21,0,0,NORMAL,False,0
101,112,7235,2,1,1,RISCO_ALTO,True,80
102,260,9797,8,1,0,RISCO_ALTO,True,70
103,398,6364,10,1,1,RISCO_ALTO,True,80
104,295,1768,18,0,1,NORMAL,False,10
105,230,5334,23,1,0,RISCO_ALTO,True,90
106,129,508,3,1,0,NORMAL,False,20
107,208,2829,22,0,0,NORMAL,False,20
108,403,4872,19,0,1,NORMAL,True,40
109,212,4746,17,1,1,NORMAL,True,60
110,254,3072,9,1,1,NORMAL,True,60
111,362,2762,1,0,0,NORMAL,False,0
112,244,9281,16,0,1,NORMAL,True,60
113,486,4164,13,1,0,NORMAL,True,50
114,465,2824,9,0,1,NORMAL,False,10
115,235,7364,7,1,0,RISCO_ALTO,True,70
116,232,8019,11,0,0,NORMAL,True,50
117,329,5684,23,1,1,RISCO_ALTO,True,100
118,247,4117,9,1,1,NORMAL,True,60
119,105,7803,15,0,0,NORMAL,True,50
120,489,9262,19,0,1,NORMAL,True,60
121,151,7316,7,1,0,RISCO_ALTO,True,70
122,246,1655,8,1,0,NORMAL,False,20
123,376,2909,10,1,0,NORMAL,False,20
124,348,3849,0,1,1,NORMAL,True,60
125,406,4592,21,0,1,NORMAL,True,40
126,120,7804,14,0,1,NORMAL,True,60
127,406,9822,1,1,0,RISCO_ALTO,True,70
128,338,4553,6,1,1,NORMAL,True,60
129,354,4121,8,1,0,NORMAL,True,50
130,236,7482,14,1,0,RISCO_ALTO,True,70
131,367,4147,10,0,1,NORMAL,True,40
132,415,3727,10,1,0,NORMAL,True,50
133,452,5216,17,1,0,RISCO_ALTO,True,70
134,198,1397,15,0,1,NORMAL,False,10
135,398,8318,1,1,0,RISCO_ALTO,True,70
136,435,8358,16,1,1,RISCO_ALTO,True,80
137,226,62,20,1,1,NORMAL,False,30
138,410,1269,6,0,1,NORMAL,False,10
139,287,8006,13,0,0,NORMAL,True,50
140,224,4753,5,1,0,NORMAL,True,50
141,350,6638,4,0,1,NORMAL,True,60
142,386,6990,6,1,1,RISCO_ALTO,True,80
143,231,9869,8,1,1,RISCO_ALTO,True,80
144,474,2092,5,0,0,NORMAL,False,0
145,483,1366,21,1,0,NORMAL,False,20
146,426,2437,15,0,0,NORMAL,False,0
147,279,373,2,0,1,NORMAL,False,10
148,357,8314,12,1,0,RISCO_ALTO,True,70
149,364,4125,7,1,0,NORMAL,True,50
150,366,1269,14,0,0,NORMAL,False,0
151,405,5982,14,0,0,NORMAL,True,50
152,136,811,1,0,1,NORMAL,False,10
153,320,511,17,0,0,NORMAL,False,0
154,207,2406,15,0,1,NORMAL,False,10
155,262,8602,10,0,0,NORMAL,True,50
156,310,7168,18,1,1,RISCO_ALTO,True,80
157,440,7442,8,1,0,RISCO_ALTO,True,70
158,305,7407,20,1,1,RISCO_ALTO,True,80
159,293,4416,19,0,1,NORMAL,True,40
160,168,3794,6,0,0,NORMAL,True,30
161,293,5954,14,1,0,RISCO_ALTO,True,70
162,329,8892,23,0,0,RISCO_MEDIO,True,70
163,248,377,15,1,1,NORMAL,False,30
164,373,8071,8,0,1,NORMAL,True,60
165,213,3169,7,0,1,NORMAL,True,40
166,343,9893,8,1,0,RISCO_ALTO,True,70
167,425,5324,17,1,1,RISCO_ALTO,True,80
168,404,8706,1,1,0,RISCO_ALTO,True,70
169,115,4798,16,0,0,NORMAL,True,30
170,353,3569,16,0,1,NORMAL,True,40
171,208,1206,5,0,1,NORMAL,False,10
172,200,4296,18,1,0,NORMAL,True,50
173,178,9539,20,0,0,NORMAL,True,50
174,451,2090,19,1,1,NORMAL,False,30
175,493,3319,13,0,1,NORMAL,True,40
176,457,3621,6,0,0,NORMAL,True,30
177,486,290,6,1,0,NORMAL,False,20
178,388,6233,6,1,0,RISCO_ALTO,True,70
179,446,8219,11,0,1,NORMAL,True,60
180,265,6146,15,1,0,RISCO_ALTO,True,70
181,176,3505,11,1,1,NORMAL,True,60
182,197,7759,14,1,1,RISCO_ALTO,True,80
183,459,1892,15,0,1,NORMAL,False,10
184,170,7627,8,0,0,NORMAL,True,50
185,260,9552,9,0,0,NORMAL,True,50
186,284,8045,8,0,1,NORMAL,True,60
187,140,3464,23,0,0,RISCO_MEDIO,True,50
188,374,9395,3,1,1,RISCO_ALTO,True,80
189,171,9545,16,0,1,NORMAL,True,60
190,407,6005,17,1,0,RISCO_ALTO,True,70
191,248,3838,17,0,0,NORMAL,True,30
192,488,873,6,1,1,NORMAL,False,30
193,305,7295,20,1,1,RISCO_ALTO,True,80
194,191,1816,21,0,0,NORMAL,False,0
195,232,7647,8,1,1,RISCO_ALTO,True,80
196,137,6271,15,0,1,NORMAL,True,60
197,253,2521,2,0,1,NORMAL,False,10
198,170,1846,23,0,0,NORMAL,False,20
199,114,7332,23,1,0,RISCO_ALTO,True,90
200,139,9245,21,1,1,RISCO_ALTO,True,80
201,424,4468,0,1,1,NORMAL,True,60
202,126,441,16,1,0,NORMAL,False,20
203,129,6862,5,0,0,NORMAL,True,50
204,222,4956,15,0,0,NORMAL,True,30
205,380,3629,16,1,1,NORMAL,True,60
206,404,4181,13,0,1,NORMAL,True,40
207,377,3943,9,1,0,NORMAL,True,50
208,423,4040,10,1,1,NORMAL,True,60
209,266,2052,16,0,0,NORMAL,False,0
210,351,1097,21,0,0,NORMAL,False,0
211,376,4508,12,1,0,NORMAL,True,50
212,184,6918,9,0,0,NORMAL,True,50
213,366,2708,23,1,1,NORMAL,False,50
214,496,4927,7,1,1,NORMAL,True,60
215,129,4273,11,1,0,NORMAL,True,50
216,389,2645,22,1,1,NORMAL,False,50
217,235,7149,4,1,1,RISCO_ALTO,True,80
218,220,6555,21,1,0,RISCO_ALTO,True,70
219,487,4033,11,1,1,NORMAL,True,60
220,268,8943,1,1,0,RISCO_ALTO,True,70
221,451,5955,14,0,1,NORMAL,True,60
222,151,7732,5,0,1,NORMAL,True,60
223,255,5575,3,1,1,RISCO_ALTO,True,80
224,108,7692,15,1,0,RISCO_ALTO,True,70
225,430,4932,1,0,0,NORMAL,True,30
226,282,7890,22,0,0,RISCO_MEDIO,True,70
227,465,3911,16,0,1,NORMAL,True,40
228,436,2803,14,1,1,NORMAL,False,30
229,335,1218,5,1,0,NORMAL,False,20
230,458,2602,9,0,0,NORMAL,False,0
231,253,3247,6,0,1,NORMAL,True,40
232,319,508,20,1,1,NORMAL,False,30
233,166,5404,23,1,1,RISCO_ALTO,True,100
234,231,2191,13,0,1,NORMAL,False,10
235,357,948,17,1,1,NORMAL,False,30
236,193,8340,17,0,1,NORMAL,True,60
237,464,7521,16,1,1,RISCO_ALTO,True,80
238,167,3619,22,1,1,RISCO_MEDIO,True,80
239,301,5093,10,0,0,NORMAL,True,50
240,100,6293,19,0,1,NORMAL,True,60
241,416,8031,10,1,1,RISCO_ALTO,True,80
242,179,3214,18,1,1,NORMAL,True,60
243,203,8540,15,1,1,RISCO_ALTO,True,80
244,358,514,12,0,0,NORMAL,False,0
245,119,2366,21,1,1,NORMAL,False,30
246,213,6394,8,1,1,RISCO_ALTO,True,80
247,280,7555,4,0,0,NORMAL,True,50
248,252,4515,20,0,0,NORMAL,True,30
249,423,5563,11,1,1,RISCO_ALTO,True,80
250,425,8994,23,0,0,RISCO_MEDIO,True,70
251,176,4429,19,1,0,NORMAL,True,50
252,203,2149,13,1,0,NORMAL,False,20
253,416,6935,3,0,1,NORMAL,True,60
254,425,2051,23,0,0,NORMAL,False,20
255,142,8289,9,0,1,NORMAL,True,60
256,380,9242,14,0,0,NORMAL,True,50
257,488,6851,7,1,1,RISCO_ALTO,True,80
258,404,1293,17,1,1,NORMAL,False,30
259,375,8706,3,1,1,RISCO_ALTO,True,80
260,488,5705,11,1,1,RISCO_ALTO,True,80
261,182,3210,14,0,1,NORMAL,True,40
262,423,7579,22,1,1,RISCO_ALTO,True,100
263,289,5445,6,0,0,NORMAL,True,50
264,387,1157,17,1,0,NORMAL,False,20
265,184,3953,20,0,1,NORMAL,True,40
266,213,9131,16,1,1,RISCO_ALTO,True,80
267,258,5942,14,1,0,RISCO_ALTO,True,70
268,493,7215,0,0,0,NORMAL,True,50
269,414,5579,0,0,0,NORMAL,True,50
270,391,1171,5,1,0,NORMAL,False,20
271,407,6474,12,1,0,RISCO_ALTO,True,70
272,421,1642,21,1,1,NORMAL,False,30
273,402,8467,23,0,1,RISCO_MEDIO,True,80
274,435,4373,1,0,1,NORMAL,True,40
275,434,4023,11,1,1,NORMAL,True,60
276,101,2594,2,0,1,NORMAL,False,10
277,198,1793,2,1,1,NORMAL,False,30
278,151,2280,12,1,0,NORMAL,False,20
279,338,8906,18,0,1,NORMAL,True,60
280,469,4211,17,0,1,NORMAL,True,40
281,337,7876,17,1,1,RISCO_ALTO,True,80
282,407,9731,4,0,1,NORMAL,True,60
283,365,854,7,0,0,NORMAL,False,0
284,330,2348,15,1,1,NORMAL,False,30
285,197,4675,9,0,0,NORMAL,True,30
286,202,6557,22,1,1,RISCO_ALTO,True,100
287,370,7431,9,0,0,NORMAL,True,50
288,163,663,8,0,1,NORMAL,False,10
289,189,2824,15,1,0,NORMAL,False,20
290,266,2464,1,0,1,NORMAL,False,10
291,249,5299,13,0,1,NORMAL,True,60
292,402,965,22,1,0,NORMAL,False,40
293,159,683,14,0,0,NORMAL,False,0
294,474,4737,1,0,0,NORMAL,True,30
295,408,9690,11,0,0,NORMAL,True,50
296,194,348,1,1,1,NORMAL,False,30
297,356,5764,16,1,1,RISCO_ALTO,True,80
298,160,6698,3,0,1,NORMAL,True,60
299,141,5567,0,0,1,NORMAL,True,60
300,121,6890,17,1,0,RISCO_ALTO,True,70
301,337,3363,11,1,0,NORMAL,True,50
302,191,534,13,1,0,NORMAL,False,20
303,496,8489,0,1,1,RISCO_ALTO,True,80
304,465,8573,14,1,0,RISCO_ALTO,True,70
305,488,5159,20,1,1,RISCO_ALTO,True,80
306,197,8431,17,0,1,NORMAL,True,60
307,321,7875,19,1,1,RISCO_ALTO,True,80
308,413,1261,12,1,0,NORMAL,False,20
309,316,5014,13,0,1,NORMAL,True,60
310,124,2196,16,0,1,NORMAL,False,10
311,438,8482,18,1,1,RISCO_ALTO,True,80
312,487,3510,17,0,1,NORMAL,True,40
313,206,2602,22,1,1,NORMAL,False,50
314,355,1496,16,1,1,NORMAL,False,30
315,323,8356,12,1,1,RISCO_ALTO,True,80
316,163,7938,5,0,1,NORMAL,True,60
317,297,7317,7,0,1,NORMAL,True,60
318,131,6183,23,0,1,RISCO_MEDIO,True,80
319,375,2045,8,0,1,NORMAL,False,10
320,323,3672,10,0,1,NORMAL,True,40
321,423,3364,18,0,1,NORMAL,True,40
322,387,5455,19,1,0,RISCO_ALTO,True,70
323,154,6858,6,1,1,RISCO_ALTO,True,80
324,437,2752,12,0,0,NORMAL,False,0
325,302,9169,13,0,1,NORMAL,True,60
326,150,9580,1,0,1,NORMAL,True,60
327,156,4679,21,0,1,NORMAL,True,40
328,116,8722,15,0,0,NORMAL,True,50
329,227,7582,23,1,0,RISCO_ALTO,True,90
330,207,9401,2,0,0,NORMAL,True,50
331,317,3690,16,1,0,NORMAL,True,50
332,149,7782,5,0,1,NORMAL,True,60
333,490,4582,5,1,0,NORMAL,True,50
334,455,7156,9,1,0,RISCO_ALTO,True,70
335,147,3434,2,0,0,NORMAL,True,30
336,273,4221,14,1,1,NORMAL,True,60
337,447,6941,1,0,1,NORMAL,True,60
338,208,1234,6,0,1,NORMAL,False,10
339,452,5161,2,1,0,RISCO_ALTO,True,70
340,132,8462,21,0,1,NORMAL,True,60
341,145,2048,8,1,0,NORMAL,False,20
342,232,4244,7,1,1,NORMAL,True,60
343,282,3323,17,1,0,NORMAL,True,50
344,444,3885,18,0,0,NORMAL,True,30
345,477,8891,6,0,0,NORMAL,True,50
346,276,2097,1,1,1,NORMAL,False,30
347,320,8552,19,1,0,RISCO_ALTO,True,70
348,217,2427,8,1,1,NORMAL,False,30
349,469,5596,7,1,1,RISCO_ALTO,True,80
350,303,3410,5,0,0,NORMAL,True,30
351,362,7740,8,0,0,NORMAL,True,50
352,462,8888,8,0,0,NORMAL,True,50
353,426,1415,7,0,0,NORMAL,False,0
354,458,8304,21,1,1,RISCO_ALTO,True,80
355,169,2687,21,1,1,NORMAL,False,30
356,213,5985,23,1,0,RISCO_ALTO,True,90
357,202,7326,6,1,0,RISCO_ALTO,True,70
